Player,Team,Age,Height,Weight,COLLEGE,COUNTRY,DRAFT,YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Jason Thompson  ,    TOR  ,29,    6-11  ,250,    Rider  ,    USA  ,2008,1,12,10,0.8,1.1,0.1,-8.1,10.2,12.8,8.8,38.8,2.9,
Jeff Ayres  ,    LAC  ,29,    6-9  ,250,    Arizona State  ,    USA  ,2009,2,31,2,1.5,0,0,31,0,0,12.5,104.2,0,
Jeff Green  ,    LAC  ,29,    6-9  ,235,    Georgetown  ,    USA  ,2007,1,5,6,10.2,3.2,0.7,-1,1.7,9.4,16.8,53.5,3.9,
Jeff Teague  ,    ATL  ,28,    6-2  ,186,    Wake Forest  ,    USA  ,2009,1,19,10,14.5,1.9,6.1,-2.2,1.1,5.2,26.5,50.4,35.3,
Jeremy Lamb  ,    CHA  ,24,    6-5  ,185,    Connecticut  ,    USA  ,2012,1,12,3,3.7,1.3,0.3,-28.8,6.7,30,34.6,61.1,33.3,
Jeremy Lin  ,    CHA  ,27,    6-3  ,200,    Harvard  ,    USA  ,      ,      ,      ,7,12.4,2.3,2.6,1.6,1.6,6.6,22.4,54.3,18.4,
Jodie Meeks  ,    DET  ,28,    6-4  ,210,    Kentucky  ,    USA  ,2009,2,41,1,2,0,0,-41.7,0,0,33.3,100,0,
Joe Johnson  ,    MIA  ,35,    6-7  ,240,    Arkansas  ,    USA  ,2001,1,10,14,12.1,4.7,2.5,2,1.5,11.4,17.8,50.4,11.1,
Joe Young  ,    IND  ,24,    6-2  ,180,    Oregon  ,    USA  ,2015,2,43,4,2.3,0.3,0.3,-19,0,9.1,45.8,50.7,20,
John Holland  ,    BOS  ,27,    6-5  ,205,    Boston University  ,    USA  ,      ,      ,      ,1,0,0,0,-66.7,0,0,50,0,0,
Jonas Jerebko  ,    BOS  ,29,    6-10  ,231,    None  ,    Sweden  ,2009,2,39,6,9.2,6.8,1.7,-3.6,3.8,19.2,13.7,57.1,10.1,
Jonas Valanciunas  ,    TOR  ,24,    7-0  ,255,    None  ,    Lithuania  ,2011,1,5,12,13.8,10.8,0.9,0.1,14.3,29.3,21.2,60.1,6.5,
Jonathon Simmons  ,    SAS  ,26,    6-6  ,195,    Houston  ,    USA  ,2012,0,0,3,3.7,1.3,0.7,-8.9,15.8,4.8,22.6,50.6,12.5,
Jordan Farmar  ,    MEM  ,29,    6-2  ,180,    UCLA  ,    USA  ,2006,1,26,4,6.8,1.5,4,-17.9,0,6.2,16.5,41.8,24.2,
Jordan Hill  ,    IND  ,28,    6-10  ,235,    Arizona  ,    USA  ,2009,1,8,5,0,1.2,0.4,-3,15.4,26.7,9.1,0,18.2,
Jordan McRae  ,    CLE  ,25,    6-5  ,179,    Tennessee  ,    USA  ,2014,2,58,2,4.5,1,0,102.5,0,28.6,36.4,112.5,0,
Jordan Mickey  ,    BOS  ,21,    6-8  ,235,    Louisiana State  ,    USA  ,2015,2,33,2,2,1,1,-6.1,8.3,8.3,19,50,50,
Jorge Gutierrez  ,    CHA  ,27,    6-3  ,189,    California  ,    Mexico  ,      ,      ,      ,3,0,0.7,0.7,-28.8,0,20,15.4,0,25,
Josh Huestis  ,    OKC  ,24,    6-7  ,230,    Stanford  ,    USA  ,2014,1,29,2,1.5,1.5,0,6.2,8.3,16.7,12,50,0,
Josh McRoberts  ,    MIA  ,29,    6-10  ,240,    Duke  ,    USA  ,2007,2,37,10,3.8,2.6,0.9,10.5,5.3,15.2,14.1,51.9,10.5,
Josh Richardson  ,    MIA  ,22,    6-6  ,200,    Tennessee  ,    USA  ,2015,2,40,14,6.6,3.6,1.6,5.3,2.8,10.5,12.9,48.9,8.3,
Josh Smith  ,    HOU  ,30,    6-9  ,225,    None  ,    USA  ,2004,1,17,4,4,0.5,1,-19.5,2.6,3.4,20.7,57.6,17.4,
Justin Anderson  ,    DAL  ,22,    6-6  ,228,    Virginia  ,    USA  ,2015,1,21,5,9.4,4,1.4,-5.6,9.6,13.1,22.5,54.4,12.3,
Justise Winslow  ,    MIA  ,20,    6-7  ,225,    Duke  ,    USA  ,2015,1,10,13,6.9,4.8,0.6,-5.9,5.3,13.6,14.3,51.6,4.3,
KJ McDaniels  ,    HOU  ,23,    6-6  ,205,    Clemson  ,    USA  ,2014,2,32,4,2.3,1.8,0.3,5.6,2.1,16.2,14.4,34.6,4.8,
Kawhi Leonard  ,    SAS  ,25,    6-7  ,230,    San Diego State  ,    USA  ,2011,1,15,10,22.5,6.3,2.8,8.8,4.2,14.2,27.4,59.7,14,
Kelly Olynyk  ,    BOS  ,25,    7-0  ,238,    Gonzaga  ,    Canada  ,2013,1,13,4,0.5,1,0.8,-50.4,4.3,6.9,16.7,11.1,21.4,
Kemba Walker  ,    CHA  ,26,    6-1  ,184,    Connecticut  ,    USA  ,2011,1,9,7,22.7,3,4,-11.7,1.1,7.5,32.5,47.2,24.8,
Kent Bazemore  ,    ATL  ,26,    6-5  ,201,    Old Dominion  ,    USA  ,      ,      ,      ,10,11.9,6.6,1.9,-6.4,2.4,16.1,19,45.5,9.2,
Kentavious Caldwell-Pope  ,    DET  ,23,    6-5  ,205,    Georgia  ,    USA  ,2013,1,8,4,15.3,4.3,2.8,-7.7,1.4,9.4,16.7,57.5,11,
Kevin Durant  ,    OKC  ,27,    6-9  ,240,    Texas  ,    USA  ,2007,1,2,18,28.4,7.1,3.3,7.5,1.8,15.3,31.2,54.2,14.4,
Kevin Love  ,    CLE  ,27,    6-10  ,251,    UCLA  ,    USA  ,2008,1,5,20,14.7,8.8,2.1,13.3,5.6,23.9,22.1,53.9,10.2,
Kevin Martin  ,    SAS  ,33,    6-7  ,199,    Western Carolina  ,    USA  ,2004,1,26,5,4.4,0.8,0.6,8.6,0,8.3,25.5,51.6,11.1,
Kirk Hinrich  ,    ATL  ,35,    6-4  ,190,    Kansas  ,    USA  ,2003,1,7,6,0.8,0.7,0.5,16.5,0,12.5,11.5,35.7,17.6,
Klay Thompson  ,    GSW  ,26,    6-7  ,215,    Washington State  ,    USA  ,2011,1,11,24,24.3,3.7,2.3,3.4,1.7,7.6,27.5,58.8,11.3,
Kris Humphries  ,    ATL  ,31,    6-9  ,235,    Minnesota  ,    USA  ,2004,1,14,4,9.3,6,1,16.2,13.6,25,26,60.4,12.1,
Kyle Anderson  ,    SAS  ,22,    6-9  ,230,    UCLA  ,    USA  ,2014,1,30,10,2.3,2.4,0.7,-3.1,1.6,17.3,11.1,41,8.3,
Kyle Korver  ,    ATL  ,35,    6-7  ,212,    Creighton  ,    USA  ,2003,2,51,10,10.3,4.8,1,5.2,0.9,12.7,11.5,65.2,4.6,
Kyle Lowry  ,    TOR  ,30,    6-0  ,205,    Villanova  ,    USA  ,2006,1,24,20,19.1,4.7,6,1.1,2.3,11,26.3,50.8,27.7,
Kyle Singler  ,    OKC  ,28,    6-8  ,228,    Duke  ,    USA  ,2011,2,33,6,1.3,1.2,0,-9.1,1.9,10.9,8.8,40.5,0,
Kyrie Irving  ,    CLE  ,24,    6-3  ,193,    Duke  ,    Australia  ,2011,1,1,21,25.2,3,4.7,10,2,6.3,29.3,57.4,22.2,
LaMarcus Aldridge  ,    SAS  ,30,    6-11  ,240,    Texas  ,    USA  ,2006,1,2,10,21.9,8.3,1,8.7,6.9,17.3,27.3,57.9,5.3,
Lamar Patterson  ,    ATL  ,24,    6-5  ,225,    Pittsburgh  ,    USA  ,2014,2,48,4,1.5,1.3,0.8,11.3,0,23.8,25.6,40.3,25,
Lance Stephenson  ,    MEM  ,25,    6-5  ,230,    Cincinnati  ,    USA  ,2010,2,40,4,13,1.5,1.8,-18.8,1.1,6,23.7,56.3,14.3,
