Player,Team,Age,Height,Weight,COLLEGE,COUNTRY,DRAFT,YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
JJ Redick  ,    PHI  ,35,    6-4  ,200,    Duke  ,    USA  ,2006,1,11,12,13.4,1.5,1.6,5.3,0.5,3.8,16.8,60.6,7.4,
JaMychal Green  ,    LAC  ,29,    6-9  ,227,    Alabama  ,    USA  ,      ,      ,      ,6,11,5.3,0.8,-2.8,4.3,19.7,17.4,69.6,4.8,
Jacob Evans  ,    GSW  ,22,    6-6  ,210,    Cincinnati  ,    USA  ,2018,1,28,7,0.7,0.1,0.1,10.1,0,3.4,17.5,50,9.1,
Jae Crowder  ,    UTA  ,28,    6-6  ,235,    Marquette  ,    USA  ,2012,2,34,5,11.4,5.8,0.8,-14.1,2.5,18.7,17.6,52.4,5.6,
Jake Layman  ,    POR  ,25,    6-9  ,215,    Maryland  ,    USA  ,2016,2,47,6,0.8,0.7,0,-35,3.3,15.8,18.4,28.5,0,
Jakob Poeltl  ,    SAS  ,23,    7-0  ,230,    Utah  ,    Austria  ,2016,1,9,7,7.3,7.7,1.7,5.2,14.5,15.8,11,63.8,9.2,
Jamal Murray  ,    DEN  ,22,    6-4  ,207,    Kentucky  ,    Canada  ,2016,1,7,14,21.3,4.4,4.7,6.4,3.6,7.9,26.1,53.4,21,
James Ennis III  ,    PHI  ,28,    6-7  ,210,    Cal State-Long Beach  ,    USA  ,2013,2,50,11,7.5,3.8,1.1,1.7,6.8,10.9,14.8,57.4,7.9,
James Harden  ,    HOU  ,29,    6-5  ,220,    Arizona State  ,    USA  ,2009,1,3,11,31.6,6.8,6.6,4.5,2.1,14.9,36.1,56.7,32.9,
Jared Dudley  ,    BKN  ,33,    6-7  ,237,    Boston College  ,    USA  ,2007,1,22,4,3,0.5,2.8,6.6,0,2.2,8.5,47,18.3,
Jarell Martin  ,    ORL  ,25,    6-10  ,239,    Louisiana State  ,    USA  ,2015,1,25,3,3.3,0.7,0.3,42.4,3.6,4.2,21.7,50.6,10,
Jarred Vanderbilt  ,    DEN  ,20,    6-9  ,214,    Kentucky  ,    USA  ,2018,2,41,3,0,0.3,0,41.1,0,20,0,0,0,
Jarrett Allen  ,    BKN  ,21,    6-11  ,237,    Texas  ,    USA  ,2017,1,22,5,11,6.8,2.2,-24.5,10.7,16.5,16.7,67.4,18.3,
Jaylen Brown  ,    BOS  ,22,    6-7  ,220,    California  ,    USA  ,2016,1,3,9,13.9,5.8,1.1,-7.2,2.1,15.5,18.2,62.4,6.3,
Jayson Tatum  ,    BOS  ,21,    6-8  ,208,    Duke  ,    USA  ,2017,1,3,9,15.2,6.7,1.9,-1.3,2.3,16.4,21.4,53,9.8,
Jerami Grant  ,    OKC  ,25,    6-9  ,220,    Syracuse  ,    USA  ,2014,2,39,5,11.6,5.4,0.8,-10.8,3.3,11.1,12,63.4,3.2,
Jeremy Lin  ,    TOR  ,30,    6-3  ,200,    Harvard  ,    USA  ,      ,      ,      ,8,1.1,0.4,0.5,-38.5,0,7.7,23.5,41.8,40,
Jerian Grant  ,    ORL  ,26,    6-4  ,205,    Notre Dame  ,    USA  ,2015,1,19,3,1.7,1.3,1,53.4,0,19,28.9,23.9,30,
Jerome Robinson  ,    LAC  ,22,    6-5  ,190,    Boston College  ,    USA  ,2018,1,13,5,3.6,1.2,1.4,4.3,3.4,11.4,14.2,55.6,18.4,
Jimmy Butler  ,    PHI  ,29,    6-8  ,232,    Marquette  ,    USA  ,2011,1,30,12,19.4,6,5.2,11.9,5.2,10.8,22.7,56.4,22.8,
Jodie Meeks  ,    TOR  ,31,    6-4  ,210,    Kentucky  ,    USA  ,2009,2,41,14,1.6,0.6,0.1,-12.1,0,10.1,20.2,36.3,2.7,
Joe Harris  ,    BKN  ,27,    6-6  ,218,    Virginia  ,    USA  ,2014,2,33,5,8.8,4.2,0.6,-24.8,3.4,9.8,15,47.3,3.2,
Joe Ingles  ,    UTA  ,31,    6-8  ,226,    None  ,    Australia  ,      ,      ,      ,5,6.4,4.8,5,-10.5,1.9,13.6,12.7,43.2,25.3,
Joel Embiid  ,    PHI  ,25,    7-0  ,250,    Kansas  ,    Cameroon  ,2014,1,3,11,20.2,10.5,3.4,20.8,6.6,24,30.1,55.9,17.8,
Jon Leuer  ,    DET  ,30,    6-10  ,228,    Wisconsin  ,    USA  ,2011,2,40,1,2,0,0,21.8,0,0,18.2,41,0,
Jonah Bolden  ,    PHI  ,23,    6-10  ,220,    UCLA  ,    Australia  ,2017,2,36,10,1.6,1.4,0.3,-17,4.3,12.8,14.7,38.5,5.8,
Jonas Jerebko  ,    GSW  ,32,    6-10  ,231,    None  ,    Sweden  ,2009,2,39,16,2.1,2.1,0.8,-6.9,12.1,15.4,16.5,38.1,15.6,
Jonathan Isaac  ,    ORL  ,21,    6-10  ,210,    Florida State  ,    USA  ,2017,1,6,5,6.6,6.2,0.4,-20.4,6.6,16.2,15.1,37.9,2.6,
Jonathon Simmons  ,    PHI  ,29,    6-6  ,195,    Houston  ,    USA  ,2012,0,0,7,3.6,1.3,0.3,-46.6,2.9,13.5,27,39.4,6.7,
Jordan Bell  ,    GSW  ,24,    6-9  ,224,    Oregon  ,    USA  ,2017,2,38,15,2.7,1.3,0.7,-5.9,7.4,11,15.3,57.9,15.5,
Jose Calderon  ,    DET  ,37,    6-3  ,200,    None  ,    Spain  ,      ,      ,      ,3,0,0,1.7,19.3,0,0,0,0,50,
Juancho Hernangomez  ,    DEN  ,23,    6-9  ,230,    None  ,    Spain  ,2016,1,15,5,0.6,0.6,0,24.5,0,15.8,12.9,50,0,
Kawhi Leonard  ,    TOR  ,28,    6-7  ,230,    San Diego State  ,    USA  ,2011,1,15,24,30.5,9.1,3.9,8.3,5.8,17.2,31,61.9,18.8,
Kenneth Faried  ,    HOU  ,29,    6-8  ,220,    Morehead State  ,    USA  ,2011,1,22,6,4,3.5,0.3,13.8,4.6,28.1,11.9,76.7,7.7,
Kevin Durant  ,    GSW  ,30,    6-9  ,240,    Texas  ,    USA  ,2007,1,2,12,32.3,4.9,4.5,9.5,0.2,12.7,31.8,66.1,20.1,
Kevon Looney  ,    GSW  ,23,    6-9  ,220,    UCLA  ,    USA  ,2015,1,30,21,7.1,4.5,1,11,10.2,11.4,11.6,70.4,6.4,
Khem Birch  ,    ORL  ,26,    6-9  ,233,    UNLV  ,    Canada  ,      ,      ,      ,5,5.2,6.2,0.8,-1.1,7.6,21.6,11.6,61.7,7.7,
Khris Middleton  ,    MIL  ,27,    6-8  ,222,    Texas A&M  ,    USA  ,2012,2,39,15,16.9,6.3,4.4,9.2,1.7,14.8,20.4,56.7,19.2,
Khyri Thomas  ,    DET  ,23,    6-3  ,210,    Creighton  ,    USA  ,2018,2,38,3,4.7,0.7,0,25.8,0,20,37.5,56.3,0,
Klay Thompson  ,    GSW  ,29,    6-7  ,215,    Washington State  ,    USA  ,2011,1,11,21,20.7,4.1,2.1,0.4,1.5,9,21.6,57.5,8.1,
Kyle Korver  ,    UTA  ,38,    6-7  ,212,    Creighton  ,    USA  ,2003,2,51,4,2.5,1.3,0,-35.2,2.7,13.3,13.2,53.6,0,
Kyle Lowry  ,    TOR  ,33,    6-1  ,196,    Villanova  ,    USA  ,2006,1,24,24,15,4.9,6.6,8.3,2.3,10.4,18.2,57.7,26.8,
Kyle O'Quinn  ,    IND  ,29,    6-10  ,250,    Norfolk State  ,    USA  ,2012,2,49,1,0,0,0,125,0,0,20,0,0,
Kyrie Irving  ,    BOS  ,27,    6-3  ,193,    Duke  ,    Australia  ,2011,1,1,9,21.3,4.3,7,-2.6,1.4,9.3,29.2,48.8,34.1,
LaMarcus Aldridge  ,    SAS  ,33,    6-11  ,260,    Texas  ,    USA  ,2006,1,2,7,20,9.6,2.7,-2,7.6,18.5,26.7,51.7,13.8,
Landry Shamet  ,    LAC  ,22,    6-5  ,188,    Wichita State  ,    USA  ,2018,1,26,6,7.7,2,1.7,0.1,0.6,6.4,11.4,54.2,7.5,
Langston Galloway  ,    DET  ,27,    6-2  ,200,    St. Joseph's (PA)  ,    USA  ,      ,      ,      ,4,7.8,3.8,1,-17.6,1.4,12.5,13.2,45.6,5.9,
Lonnie Walker IV  ,    SAS  ,20,    6-5  ,205,    Miami  ,    USA  ,2018,1,18,6,1,0.3,0.5,17.4,0,10,16.7,37.5,21.4,
Lou Williams  ,    LAC  ,32,    6-1  ,175,    None  ,    USA  ,2005,2,45,6,21.7,2.8,7.7,-19,3.1,6.6,31.4,53.3,43.8,
Luke Kennard  ,    DET  ,23,    6-5  ,206,    Duke  ,    USA  ,2017,1,12,4,15,4,1.8,-23.2,0,13.2,16.3,60.4,8.8,
Malcolm Brogdon  ,    MIL  ,26,    6-5  ,229,    Virginia  ,    USA  ,2016,2,36,7,13,4.9,3.4,14.3,3.1,12.2,20.7,54.9,18.3,
Malcolm Miller  ,    TOR  ,26,    6-7  ,210,    Holy Cross  ,    USA  ,      ,      ,      ,10,0.8,0.5,0.1,-35.5,0,12.8,15.3,41,9.1,
Malik Beasley  ,    DEN  ,22,    6-5  ,195,    Florida State  ,    USA  ,2016,1,19,14,8.1,3.4,1,-0.5,3.5,13.5,16.8,53,7.2,
Marc Gasol  ,    TOR  ,34,    7-1  ,255,    None  ,    Spain  ,2007,2,48,24,9.4,6.4,3,5.2,2.2,19.2,13.5,56.4,14.7,
Marco Belinelli  ,    SAS  ,33,    6-5  ,210,    None  ,    Italy  ,2007,1,18,7,5.9,1.9,1.1,3,0,9.1,13.7,50.4,7.9,
Marcus Morris Sr.  ,    BOS  ,29,    6-9  ,235,    Kansas  ,    USA  ,2011,1,14,9,13.7,8.1,1.2,5.7,4.6,21.1,16.8,66.4,6.7,
Marcus Smart  ,    BOS  ,25,    6-4  ,220,    Oklahoma State  ,    USA  ,2014,1,6,2,3.5,2,2,-21.6,8.5,0,19.5,25.7,28.6,
Markieff Morris  ,    OKC  ,29,    6-10  ,245,    Kansas  ,    USA  ,2011,1,13,5,3.8,2.6,1,6.3,5.8,15,15,47.6,14.3,
Mason Plumlee  ,    DEN  ,29,    6-11  ,235,    Duke  ,    USA  ,2013,1,22,14,4.6,4.4,1.5,-15.7,10.2,15.1,13.1,53.9,15.2,
Maurice Harkless  ,    POR  ,26,    6-9  ,220,    St. John's, N.Y.  ,    USA  ,2012,1,15,16,8.4,4.9,1.4,-2.7,6.8,13.2,15.2,53.7,8.6
Melvin Frazier Jr.  ,    ORL  ,22,    6-6  ,200,    Tulane  ,    USA  ,2018,2,35,3,1.7,1.3,0,51.9,4.2,13,15.4,42.5,0,
Meyers Leonard  ,    POR  ,27,    7-1  ,255,    Illinois  ,    USA  ,2012,1,11,11,7.7,3.6,1.1,-1.7,3.2,21.1,18.8,61.6,11,
Michael Carter-Williams  ,    ORL  ,27,    6-6  ,190,    Syracuse  ,    USA  ,2013,1,11,5,6.6,4,2.4,-9.3,1.8,19.4,18.8,47.8,24.5,
Mike Scott  ,    PHI  ,30,    6-8  ,237,    Virginia  ,    USA  ,2012,2,43,10,5.6,3.4,0.5,2.1,2,14.2,11.3,58.5,3.6,
Monte Morris  ,    DEN  ,24,    6-3  ,175,    Iowa State  ,    USA  ,2017,2,51,14,5.4,1.4,2.6,-7.4,1.1,6.8,18.2,40.9,25,
Montrezl Harrell  ,    LAC  ,25,    6-8  ,240,    Louisville  ,    USA  ,2015,2,32,6,18.3,5.5,2.2,-22.7,7.2,13.5,21.2,73.9,15.9,
Myles Turner  ,    IND  ,23,    6-11  ,250,    Texas  ,    USA  ,2015,1,11,4,9.8,6.3,1.5,-6.9,3,17.1,15.6,47.9,7.6,
Nene  ,    HOU  ,36,    6-11  ,250,    None  ,    Brazil  ,2002,1,7,7,3.9,2,0.4,13.4,17.6,12.2,13.5,96.7,8.3,
Nerlens Noel  ,    OKC  ,25,    6-11  ,220,    Kentucky  ,    USA  ,2013,1,6,5,4.8,3.8,0,7.8,16.4,12.7,16.8,57.5,0,
Nikola Jokic  ,    DEN  ,24,    7-0  ,250,    None  ,    Serbia  ,2014,2,41,14,25.1,13,8.4,7.1,9.2,21.8,26.2,59.6,36.5,
Nikola Mirotic  ,    MIL  ,28,    6-10  ,250,    None  ,    Montenegro  ,2011,1,23,14,9.5,4.3,0.7,2.7,5,13.8,19.5,51.4,5,
Nikola Vucevic  ,    ORL  ,28,    7-0  ,260,    Southern California  ,    Montenegro  ,2011,1,16,5,11.2,8,3,-23.2,6,25.2,23.9,43.6,19.5,
Norman Powell  ,    TOR  ,26,    6-4  ,215,    UCLA  ,    USA  ,2015,2,46,23,6.5,2.2,1.1,8.5,1.3,11.2,17.6,55.8,11.4,
P.J. Tucker  ,    HOU  ,34,    6-6  ,245,    Texas  ,    USA  ,2006,2,35,11,11.4,7.5,1.7,6.9,4.5,13.6,10.9,63.7,6.6,
Pascal Siakam  ,    TOR  ,25,    6-9  ,230,    New Mexico State  ,    Cameroon  ,2016,1,27,24,19,7.1,2.8,5.2,4.5,14.3,22.8,54,12.6,
Pat Connaughton  ,    MIL  ,26,    6-4  ,209,    Notre Dame  ,    USA  ,2015,2,41,15,6.2,6.2,1.4,7.9,2.7,20.8,11.2,57.7,9.5,
Patrick Beverley  ,    LAC  ,30,    6-1  ,185,    Arkansas  ,    USA  ,2009,2,42,6,9.8,8,4.7,-13.9,3.7,23.3,12.3,58.4,20,
Patrick McCaw  ,    TOR  ,23,    6-7  ,185,    UNLV  ,    USA  ,2016,2,38,11,0.5,0.3,0.4,-17.9,3.7,1.8,5.8,42.5,12.9,
Patty Mills  ,    SAS  ,30,    6-0  ,180,    St. Mary's  ,    Australia  ,2009,2,55,7,5.3,2.1,3.6,-3.9,0.6,8.3,14.6,39,23.4,
Paul George  ,    OKC  ,29,    6-9  ,220,    Fresno State  ,    USA  ,2010,1,10,5,28.6,8.6,3.6,1.7,2.8,16.7,29.7,58.3,14.9,
Paul Millsap  ,    DEN  ,34,    6-8  ,246,    Louisiana Tech  ,    USA  ,2006,2,47,14,14.6,6.7,0.8,5.5,4.9,14.6,19,56.1,3.5,
Quincy Pondexter  ,    SAS  ,31,    6-7  ,230,    Washington  ,    USA  ,2010,1,26,5,0,0.2,0.4,19.6,0,12.5,6.9,0,22.2,
Quinn Cook  ,    GSW  ,26,    6-2  ,179,    Duke  ,    USA  ,      ,      ,      ,17,4.2,1.1,0.7,-17.6,1.1,7.9,16.7,49.5,10.2,
Raul Neto  ,    UTA  ,27,    6-1  ,179,    None  ,    Brazil  ,2013,2,47,3,0.7,1,0.3,-42.7,0,13,11.8,16.7,11.1,
Raymond Felton  ,    OKC  ,35,    6-1  ,205,    North Carolina  ,    USA  ,2005,1,5,5,2.2,0.6,0.6,12.9,0,5.3,11.8,39.6,9.1,
Reggie Jackson  ,    DET  ,29,    6-3  ,208,    Boston College  ,    USA  ,2011,1,24,4,17.8,3.3,7,-24.7,3.7,8.1,27.4,52.1,41.8,
Ricky Rubio  ,    UTA  ,28,    6-4  ,190,    None  ,    Spain  ,2009,1,5,5,15.4,3.2,8.6,-2.8,1.7,7.2,22.6,51.5,41,
Robert Williams III  ,    BOS  ,21,    6-10  ,240,    Texas A&M  ,    USA  ,2018,1,27,3,1.3,2.3,0,10.6,8.3,31.6,10.3,69.4,0,
Rodions Kurucs  ,    BKN  ,21,    6-9  ,210,    None  ,    Latvia  ,2018,2,40,4,6.3,5,0.8,-19.5,6.7,19.2,13.8,52.2,6.5,
Rodney Hood  ,    POR  ,26,    6-8  ,206,    Duke  ,    USA  ,2014,1,23,16,9.9,2.3,0.9,-0.5,2.3,6.4,16,60.6,6,
Rondae Hollis-Jefferson  ,    BKN  ,24,    6-7  ,217,    Arizona  ,    USA  ,2015,1,23,4,13.3,3,1.5,-4.6,4.1,16.4,29.8,60.2,15.8,
Royce O'Neale  ,    UTA  ,26,    6-6  ,226,    Baylor  ,    USA  ,      ,      ,      ,5,10.6,4.6,1.6,-0.7,1.2,13.1,17,56.7,11.1,
Rudy Gay  ,    SAS  ,32,    6-8  ,230,    Connecticut  ,    USA  ,2006,1,8,7,11.1,7.1,1.7,-7.9,7.3,19.4,22,50.3,10.8,
Rudy Gobert  ,    UTA  ,27,    7-1  ,245,    None  ,    France  ,2013,1,27,5,11.2,10.2,1.4,-15.2,13.3,17.8,14.2,66.5,7.5,
Russell Westbrook  ,    OKC  ,30,    6-3  ,200,    UCLA  ,    USA  ,2008,1,4,5,22.8,9,10.6,-9.7,3.4,17.9,31.2,46.6,43.8,
Semi Ojeleye  ,    BOS  ,24,    6-7  ,241,    Southern Methodist  ,    USA  ,2017,2,37,6,2.2,0.3,0.3,-6.5,2.8,2.3,13.3,65.8,10.5,
Serge Ibaka  ,    TOR  ,29,    6-10  ,235,    None  ,    Democratic Republic of the Congo  ,2008,1,24,24,9.4,6,0.9,8.8,7,19.4,21.2,53.2,7.4,
Seth Curry  ,    POR  ,28,    6-2  ,185,    Duke  ,    USA  ,      ,      ,      ,16,5.6,1.6,0.8,4.3,1.4,5.5,12,51.8,5.7,
Shabazz Napier  ,    BKN  ,27,    6-1  ,180,    Connecticut  ,    USA  ,2014,1,24,3,8,2.3,3.7,36.4,8,16.7,19.4,82.6,45.8,
Shai Gilgeous-Alexander  ,    LAC  ,20,    6-6  ,181,    Kentucky  ,    Canada  ,2018,1,11,6,13.7,2.7,3.2,-13,2.2,7.5,18.1,59.6,18.6,
Shaun Livingston  ,    GSW  ,33,    6-7  ,192,    None  ,    USA  ,2004,1,4,22,4,1.4,1.4,-6,3.3,6.1,12.8,51.7,14.8,
Sindarius Thornwell  ,    LAC  ,24,    6-5  ,215,    South Carolina  ,    USA  ,2017,2,48,4,1.3,1,0,27.6,0,28.6,17.6,41.7,0,
Skal Labissiere  ,    POR  ,23,    6-11  ,235,    Kentucky  ,    Haiti  ,2016,1,28,3,0.7,0,0,-41.1,0,0,15.4,22.5,0,
Spencer Dinwiddie  ,    BKN  ,26,    6-6  ,210,    Colorado  ,    USA  ,2014,2,38,5,14.6,2.6,1.6,-11.5,2.6,6.3,22.9,53.6,11.3,
Stephen Curry  ,    GSW  ,31,    6-3  ,190,    Davidson  ,    USA  ,2009,1,7,22,28.2,6,5.7,6,2.1,13.1,28,62,23.1,
Sterling Brown  ,    MIL  ,24,    6-6  ,232,    Southern Methodist  ,    USA  ,2017,2,46,11,4.1,2.7,1.7,9.6,2.2,12.9,12.8,52.5,16,
Steven Adams  ,    OKC  ,25,    7-0  ,265,    Pittsburgh  ,    New Zealand  ,2013,1,12,5,11.8,7.2,1.4,-11,7.6,13.8,14.6,64.8,7,
T.J. Leaf  ,    IND  ,22,    6-10  ,225,    UCLA  ,    USA  ,2017,1,18,1,2,3,0,35,6.7,13.3,15.4,25.8,0,
T.J. McConnell  ,    PHI  ,27,    6-2  ,190,    Arizona  ,    USA  ,2015,0,      ,9,2.7,0.7,1.2,-17.7,1.3,7,14.9,44.4,21.6,
Terrance Ferguson  ,    OKC  ,21,    6-7  ,190,    None  ,    USA  ,2017,1,21,5,5,2.4,1.2,-15.9,1.5,7.4,9.8,50,5.9,
Terrence Ross  ,    ORL  ,28,    6-7  ,206,    Washington  ,    USA  ,2012,1,8,5,13.2,3.6,1.4,-12.4,0.6,12.9,20.9,53.7,9,
Terry Rozier  ,    BOS  ,25,    6-1  ,190,    Louisville  ,    USA  ,2015,1,16,9,6.4,4.3,1.9,3,2.3,17.2,20,43.9,19.1,
Thabo Sefolosha  ,    UTA  ,35,    6-7  ,220,    None  ,    Switzerland  ,2006,1,13,4,1.3,2,0.5,-16,2,15.6,14.6,17.9,8.3,
Thaddeus Young  ,    IND  ,31,    6-8  ,221,    Georgia Tech  ,    USA  ,2007,1,12,4,10.5,7,3.8,-2.7,6.9,16,17.8,46.6,19.2,
Theo Pinson  ,    BKN  ,23,    6-6  ,218,    North Carolina  ,    USA  ,      ,      ,      ,3,3,1,1,37.6,0,12,15.3,56.3,14.3,
Thon Maker  ,    DET  ,22,    7-1  ,221,    None  ,    South Sudan  ,2016,1,10,4,5.5,2.3,1,-24.3,4.9,6.8,20,36.7,8.9,
Tim Frazier  ,    MIL  ,28,    6-1  ,170,    Penn State  ,    USA  ,      ,      ,      ,11,1.9,0.8,0.9,-15.1,0,20.9,16.3,75.6,43.5,
Tobias Harris  ,    PHI  ,26,    6-9  ,235,    Tennessee  ,    USA  ,2011,1,19,12,15.5,9.2,4,6.7,2.8,20.7,18.7,52.1,16,
Tony Snell  ,    MIL  ,27,    6-7  ,213,    New Mexico  ,    USA  ,2013,1,20,9,0.6,0.3,0,-20.3,6.3,3.6,9.1,41.7,0,
Torrey Craig  ,    DEN  ,28,    6-7  ,215,    South Carolina Upstate  ,    USA  ,      ,      ,      ,14,6.6,5.1,0.9,6.1,6.3,14.6,10.9,60.5,4.9,
Treveon Graham  ,    BKN  ,25,    6-5  ,225,    Va Commonwealth  ,    USA  ,      ,      ,      ,5,1.4,2,0.6,-0.6,2.4,10,8.1,27.7,4.2,
Trey Lyles  ,    DEN  ,23,    6-10  ,234,    Kentucky  ,    Canada  ,2015,1,12,3,0,0.3,0.7,47.1,11.1,0,15,0,22.2,
Tyreke Evans  ,    IND  ,29,    6-6  ,220,    Memphis  ,    USA  ,2009,1,4,4,15.3,4.3,0.8,-12.8,0,20,31.6,56.3,8.3,
Tyrone Wallace  ,    LAC  ,25,    6-5  ,198,    California  ,    USA  ,2016,2,60,2,2,0.5,1.5,42.6,0,10,18.8,37.6,27.3,
Wayne Ellington  ,    DET  ,31,    6-5  ,200,    North Carolina  ,    USA  ,2009,1,28,4,7.8,3.8,1.3,-29,1.8,9.2,11.7,43.2,5.4,
Wes Iwundu  ,    ORL  ,24,    6-7  ,195,    Kansas State  ,    USA  ,2017,2,33,5,4.8,1.4,0.8,3.9,0,12.1,16.3,54.6,10.5,
Wesley Matthews  ,    IND  ,32,    6-5  ,220,    Marquette  ,    USA  ,      ,      ,      ,4,7,2.5,2,-5,0,8.9,14.9,44.7,10.5,
Will Barton  ,    DEN  ,28,    6-6  ,190,    Memphis  ,    USA  ,2012,2,40,14,9.1,4.8,1.7,-8.4,3.9,14.1,21.2,43.4,12.2,
Wilson Chandler  ,    LAC  ,32,    6-9  ,225,    DePaul  ,    USA  ,2007,1,23,4,3.8,1.5,0.5,8.2,0,10.2,16.2,42.2,5,
Zach Collins  ,    POR  ,21,    7-0  ,235,    Gonzaga  ,    USA  ,2017,1,10,16,6.8,3.6,0.9,-3.2,5.8,13.1,17.5,59.2,8.6,
Zaza Pachulia  ,    DET  ,35,    6-11  ,270,    None  ,    Georgia  ,2003,2,42,2,2.5,4.5,0,2.1,4.2,32,15.7,36.3,0,
Zhaire Smith  ,    PHI  ,20,    6-4  ,199,    Texas Tech  ,    USA  ,2018,1,16,2,0,0,0,93.3,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Player  ,    Team  ,    Age  ,    Height  ,    Weight  ,    COLLEGE  ,    COUNTRY  ,    DRAFT YEAR  ,    DRAFT ROUND  ,    DRAFT NUMBER  ,    GP  ,    PTS  ,    REB  ,    AST  ,    NETRTG  ,    OREB%  ,    DREB%  ,    USG%  ,    TS%  ,    AST%,
Aaron Brooks  ,    MIN  ,33,    6-0  ,161,    Oregon  ,    USA  ,2007,1,26,2,2,0,0,9.5,0,0,50,51.5,0,
Aaron Jackson  ,    HOU  ,32,    6-3  ,183,    Duquesne  ,    USA  ,      ,      ,      ,7,0.7,0.6,0.3,-24.6,11.1,10.5,16.7,51.2,20,
Abdel Nader  ,    BOS  ,24,    6-6  ,230,    Iowa State  ,    Egypt  ,2016,2,58,11,1.1,0.3,0.3,-16.5,2.8,5.9,23.8,35.8,18.8,
Al Horford  ,    BOS  ,32,    6-10  ,245,    Florida  ,    Dominican Republic  ,2007,1,3,19,15.7,8.3,3.3,5.1,4.7,19.3,18.2,63.1,15.5,
Al-Farouq Aminu  ,    POR  ,27,    6-9  ,220,    Wake Forest  ,    USA  ,2010,1,8,4,17.3,9,1.3,-15.2,8.1,21.2,18.6,65.2,6.2,
Alec Burks  ,    UTA  ,26,    6-6  ,214,    Colorado  ,    USA  ,2011,1,12,9,9.1,2.7,1.9,5.3,1.6,17.5,27.6,58.1,23.6,
Alex Abrines  ,    OKC  ,24,    6-6  ,190,    None  ,    Spain  ,2013,2,32,6,4,2.7,0.3,12.9,2.9,10.6,8.7,57.5,2.4,
Amir Johnson  ,    PHI  ,31,    6-9  ,240,    None  ,    USA  ,2005,2,56,8,3.3,2.9,1.1,9.8,12.5,10.7,10.7,56,13.6,
Andre Iguodala  ,    GSW  ,34,    6-6  ,215,    Arizona  ,    USA  ,2004,1,9,15,8.1,4.5,2.7,13.4,3,13.1,12.4,61,13.3,
Andrew Wiggins  ,    MIN  ,23,    6-8  ,202,    Kansas  ,    Canada  ,2014,1,1,5,15.8,5.2,2,-17.2,3,11.4,23.2,51.4,10.6,
Ante Zizic  ,    CLE  ,21,    6-11  ,250,    None  ,    Croatia  ,2016,1,23,8,1.6,0.8,0.1,25.4,3.6,18.5,27.3,51.4,7.1,
Anthony Davis  ,    NOP  ,25,    6-10  ,253,    Kentucky  ,    USA  ,2012,1,1,9,30.1,13.4,1.7,-0.1,6.6,25.1,29.5,58.4,6.9,
Aron Baynes  ,    BOS  ,31,    6-10  ,260,    Washington State  ,    Australia  ,      ,      ,      ,19,6,6.2,1,-3.9,11,18.5,12.1,58.8,7.7,
Bam Adebayo  ,    MIA  ,20,    6-10  ,255,    Kentucky  ,    USA  ,2017,1,14,5,3.4,4,0,-12.9,10.8,12.5,12.4,40.2,0,
Ben Simmons  ,    PHI  ,21,    6-10  ,230,    Louisiana State  ,    Australia  ,2016,1,1,10,16.3,9.4,7.7,-2.9,3.9,22.1,21.9,54.1,34.5,
Bojan Bogdanovic  ,    IND  ,29,    6-8  ,230,    None  ,    Croatia  ,2011,2,31,7,12.4,3.4,1.9,7.5,0.4,10.3,18.7,50.9,8.2,
Bradley Beal  ,    WAS  ,25,    6-5  ,207,    Florida  ,    USA  ,2012,1,3,6,23.2,3.3,2.8,-8.6,0.9,9.1,26.7,58.8,13.7,
Brandon Jennings  ,    MIL  ,28,    6-1  ,170,    None  ,    USA  ,2009,1,10,1,2,0,0,-12.5,0,0,44.4,34.7,0,
Brandon Paul  ,    SAS  ,27,    6-4  ,200,    Illinois  ,    USA  ,      ,      ,      ,1,0,1,1,54.8,0,33.3,0,0,25,
Bryn Forbes  ,    SAS  ,24,    6-3  ,190,    Michigan State  ,    USA  ,      ,      ,      ,4,4.3,0.8,0.5,-15.4,1.9,3.7,16.7,42.3,6.3,
CJ McCollum  ,    POR  ,26,    6-3  ,190,    Lehigh  ,    USA  ,2013,1,10,4,25.3,2,3.5,-10.3,0,5.9,24.1,61,14.3,
CJ Miles  ,    TOR  ,31,    6-6  ,225,    None  ,    USA  ,2005,2,34,10,9.6,2.4,0.8,-8.4,2.6,8.3,16.4,61.5,5.6,
Caleb Swanigan  ,    POR  ,21,    6-8  ,250,    Purdue  ,    USA  ,2017,1,26,1,3,2,1,57.9,0,25,26.3,39.9,11.1,
Carmelo Anthony  ,    OKC  ,34,    6-8  ,240,    Syracuse  ,    USA  ,2003,1,3,6,11.8,5.7,0.3,-13.2,1.4,15.6,18.9,45.2,1.7,
Cedi Osman  ,    CLE  ,23,    6-8  ,215,    None  ,    Turkey  ,2015,2,31,14,1,0.5,0.2,7.4,1.4,10.2,13.7,35.4,7.1,
Cheick Diallo  ,    NOP  ,21,    6-9  ,220,    Kansas  ,    Mali  ,2016,2,33,7,1.4,1.3,0,-25,8.2,9.4,11.5,41.7,0,
